iter	Passed	Remaining
443	1137	1424
444	1139	1420
445	1140	1416
446	1141	1412
447	1143	1408
448	1144	1404
449	1146	1401
450	1147	1397
451	1150	1395
452	1152	1391
453	1153	1387
454	1155	1383
455	1156	1379
456	1158	1376
457	1159	1372
458	1161	1368
459	1162	1364
460	1165	1362
461	1166	1358
462	1168	1355
463	1169	1351
464	1171	1347
465	1172	1343
466	1173	1339
467	1175	1336
468	1176	1332
469	1178	1329
470	1180	1326
471	1182	1322
472	1183	1318
473	1185	1315
474	1186	1311
475	1187	1307
476	1189	1304
477	1191	1300
478	1192	1297
479	1195	1294
480	1196	1291
481	1198	1287
482	1199	1284
483	1201	1280
484	1202	1276
485	1203	1273
486	1205	1269
487	1206	1265
488	1209	1264
489	1211	1260
490	1212	1257
491	1213	1253
492	1215	1250
493	1216	1246
494	1218	1242
495	1219	1239
496	1220	1235
497	1222	1232
498	1224	1229
499	1226	1226
500	1227	1223
501	1229	1219
502	1231	1216
503	1233	1213
504	1234	1209
505	1235	1206
506	1238	1204
507	1240	1201
508	1241	1197
509	1243	1194
510	1244	1190
511	1245	1187
512	1247	1184
513	1248	1180
514	1250	1177
515	1251	1174
516	1254	1171
517	1255	1168
518	1256	1164
519	1258	1161
520	1260	1158
521	1261	1155
522	1262	1151
523	1264	1148
524	1265	1144
525	1268	1143
526	1270	1139
527	1271	1136
528	1273	1133
529	1274	1130
530	1275	1126
531	1277	1123
532	1278	1120
533	1279	1116
534	1282	1114
535	1284	1111
536	1285	1108
537	1286	1105
538	1288	1101
539	1289	1098
540	1290	1095
541	1292	1091
542	1293	1088
543	1294	1085
544	1297	1083
545	1299	1080
546	1300	1077
547	1302	1074
548	1303	1070
549	1304	1067
550	1306	1064
551	1307	1061
552	1308	1058
553	1311	1056
554	1313	1053
555	1315	1050
556	1316	1047
557	1318	1044
558	1320	1041
559	1321	1038
560	1322	1035
561	1324	1032
562	1327	1030
563	1328	1027
564	1330	1024
565	1331	1021
566	1333	1018
567	1334	1014
568	1335	1011
569	1337	1008
570	1339	1006
571	1341	1004
572	1343	1001
573	1344	998
574	1346	995
575	1347	991
576	1349	988
577	1350	985
578	1351	983
579	1353	980
580	1356	978
581	1358	975
582	1359	972
583	1361	969
584	1362	966
585	1363	963
586	1365	960
587	1366	957
588	1368	955
589	1372	953
590	1374	951
591	1375	948
592	1377	945
593	1378	942
594	1379	939
595	1381	936
596	1382	933
597	1384	930
598	1387	928
599	1388	925
600	1390	922
601	1391	919
602	1392	917
603	1394	914
604	1395	911
605	1397	908
606	1398	905
607	1402	904
608	1403	901
609	1404	898
610	1406	895
611	1407	892
612	1409	889
613	1410	886
614	1412	884
615	1413	881
616	1416	879
617	1417	876
618	1419	873
619	1421	871
620	1423	868
621	1424	865
622	1426	862
623	1427	860
624	1428	857
625	1431	855
626	1432	852
627	1434	849
628	1435	846
629	1437	844
630	1438	841
631	1440	838
632	1441	835
633	1442	832
634	1446	831
635	1447	828
636	1448	825
637	1450	822
638	1451	820
639	1453	817
640	1455	814
641	1456	812
642	1457	809
643	1460	807
644	1462	804
645	1464	802
646	1465	799
647	1467	796
648	1468	794
649	1469	791
650	1471	788
651	1472	785
652	1475	784
653	1476	781
654	1478	778
655	1479	776
656	1481	773
657	1482	770
658	1484	768
659	1485	765
660	1486	762
661	1489	760
662	1491	757
663	1493	755
664	1494	753
665	1496	750
666	1497	747
667	1499	745
668	1500	742
669	1501	739
670	1504	737
671	1506	735
672	1508	732
673	1510	730
674	1511	727
675	1513	725
676	1514	722
677	1516	720
678	1519	718
679	1520	715
680	1522	713
681	1524	710
682	1525	708
683	1527	705
684	1528	702
685	1529	700
686	1531	697
687	1534	695
688	1536	693
689	1537	690
690	1538	688
691	1540	685
692	1541	682
693	1543	680
694	1544	677
695	1546	675
696	1550	673
697	1551	671
698	1553	668
699	1554	666
700	1555	663
701	1557	661
702	1558	658
703	1560	655
704	1561	653
705	1564	651
706	1566	649
707	1567	646
708	1568	643
709	1570	641
710	1571	638
711	1573	636
